Location,ID,Job Title,Salary Estimate,Job Description,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
"Cerritos, CA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Culver City, CA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Huntersville, NC",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Kent, WA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Pleasanton, CA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"West Point, PA",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Arcadia, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Boulder, CO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Chesapeake, VA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"City of Industry, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Deerfield, IL",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Doylestown, PA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Fort Mill, SC",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Grapevine, TX",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Issaquah, WA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Los Gatos, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Louisville, CO",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Mount Laurel, NJ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Northbrook, IL",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Round Rock, TX",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"San Ramon, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Stanford, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Sugar Land, TX",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Union City, CA",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Weehawken, NJ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Alhambra, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Allegheny West, PA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Bellevue, WA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Berkeley, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Berwyn, PA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Beverly Hills, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Brea, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Broadview, IL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Bronx, NY",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Carmel, IN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"DC Ranch, AZ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Draper, UT",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Dublin, OH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Fairfield, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Feasterville Trevose, PA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Franklin Lakes, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Gardena, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Haworth, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Hilliard, OH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Hoboken, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Irwindale, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Kirkland, WA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Lackland AFB, TX",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Lewisville, TX",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Long Island City, NY",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Manhasset, NY",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Marina del Rey, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Marlton, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Mesa, AZ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Newark, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Newport News, VA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Northridge, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Oak Brook, IL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Parsippany, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Pasadena, TX",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Plymouth Meeting, PA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Renton, WA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Rolling Meadows, IL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"San Rafael, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"South Plainfield, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Stafford, TX",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Summit, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Topeka, KS",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Venice, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Walnut Creek, CA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"West Chester, PA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"West Orange, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Westerville, OH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Westlake, TX",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Whippany, NJ",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Woodridge, IL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Addison, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alachua, FL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alameda, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"American Fork, UT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Arlington Heights, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Azusa, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Beech Grove, IN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bensalem, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Berkeley Heights, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Blue Bell, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Boothwyn, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bridgeview, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Burlingame, KS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Burr Ridge, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Campbell, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Carrollton, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Carson, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cedar Park, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chester Township, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Conshohocken, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Coppell, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Daly City, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Des Plaines, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Duarte, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"East Palo Alto, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"El Cajon, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Elk Grove Village, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Emeryville, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Essex Fells, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Evanston, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Exton, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Far Rockaway, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Farmers Branch, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fort Eustis, VA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fort Lee, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fort Sam Houston, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fort Washington, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Glenview, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Great Neck, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hanford, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Harrison, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Henderson, CO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hercules, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hermosa Beach, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Indian Trail, NC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Inglewood, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Iselin, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Itasca, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Jeffersonville, IN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lawrence, IN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Little Ferry, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Littleton, CO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lone Tree, CO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Marin City, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Maywood, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Millbrae, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Monterey Park, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Montvale, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Moorestown, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mount Vernon, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"National City, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Newtown Square, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Newtown, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Norristown, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Northfield, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Northlake, IL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Novato, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Panorama City, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Paoli, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pico Rivera, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Queens Village, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Radnor, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Reedley, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ridley Park, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Riverton, UT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Roanoke, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"San Bruno, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"San Fernando, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sandy, UT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Secaucus, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Signal Hill, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Smithfield, VA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Southlake, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Spring, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Staten Island, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Suffolk, VA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Tarrant, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Torrance, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Valley Stream, NY",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Virginia Beach, VA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Visalia, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"West Conshohocken, PA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"West Jordan, UT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"West Lake Hills, TX",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Whitestown, IN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Whittier, CA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Woodbridge, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Woodcliff Lake, NJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Yorktown, VA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
